Private Rental Market Statistics ,,,,,,,
Table 1.2: Summary of monthly rents recorded between January 2020 and December 2020 by borough and bedroom category for London,,,,,,,
,,,,,,,
,,,,,,,
"These statistics are not comparable with the Office for National Statistics’ Official Statistics releases on the private rental market. Both use the Valuation Office Agency's data collected by Rent Officers from landlords and letting agents, however, the sample and methodology used to produce the figures is not the same.",,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
Table notes and footnotes,,,Back to contents,,,,
,,,,,,,
Borough,Bedroom Category,Count of rents,Mean,Lower quartile,30th percentile,Median,Upper quartile
Barking and Dagenham,Room,20,859,542,542,692,792
Barking and Dagenham,Studio,10,792,750,750,800,850
Barking and Dagenham,One Bedroom,150,990,900,950,1000,1050
Barking and Dagenham,Two Bedrooms,220,1220,1150,1150,1200,1300
Barking and Dagenham,Three Bedrooms,150,1438,1300,1350,1400,1550
Barking and Dagenham,Four or More Bedrooms,30,1695,1600,1600,1700,1850
Barnet,Room,-,..,..,..,..,..
Barnet,Studio,60,916,823,850,900,1000
Barnet,One Bedroom,380,1162,1050,1100,1150,1250
Barnet,Two Bedrooms,770,1404,1300,1300,1400,1500
Barnet,Three Bedrooms,260,1797,1603,1650,1798,1950
Barnet,Four or More Bedrooms,110,2529,2090,2130,2400,2950
Bexley,Room,10,495,392,392,442,542
Bexley,Studio,30,698,650,663,700,750
Bexley,One Bedroom,190,853,775,775,850,925
Bexley,Two Bedrooms,340,1112,1000,1000,1100,1200
Bexley,Three Bedrooms,200,1294,1150,1200,1300,1420
Bexley,Four or More Bedrooms,80,1758,1349,1400,1650,1900
Brent,Room,60,621,500,550,608,702
Brent,Studio,120,904,800,825,900,1000
Brent,One Bedroom,250,1176,1083,1100,1163,1250
Brent,Two Bedrooms,440,1452,1300,1350,1430,1550
Brent,Three Bedrooms,260,1850,1700,1700,1800,1950
Brent,Four or More Bedrooms,150,2279,1950,2000,2200,2500
Bromley,Room,10,549,442,492,550,627
Bromley,Studio,50,775,700,725,800,850
Bromley,One Bedroom,510,1001,921,950,1000,1050
Bromley,Two Bedrooms,810,1262,1150,1175,1250,1350
Bromley,Three Bedrooms,340,1589,1400,1450,1550,1713
Bromley,Four or More Bedrooms,180,2321,1850,1900,2000,2500
Camden,Room,10,795,766,775,775,835
Camden,Studio,120,1072,900,921,1000,1105
Camden,One Bedroom,300,1639,1278,1300,1525,1900
Camden,Two Bedrooms,240,2264,1733,1850,2167,2680
Camden,Three Bedrooms,90,2877,2150,2210,2492,3142
Camden,Four or More Bedrooms,40,3796,2300,2750,3358,3987
City of London,Room,0,.,.,.,.,.
City of London,Studio,-,..,..,..,..,..
City of London,One Bedroom,10,2050,1647,1647,1950,2385
City of London,Two Bedrooms,-,..,..,..,..,..
City of London,Three Bedrooms,-,..,..,..,..,..
City of London,Four or More Bedrooms,0,.,.,.,.,.
Croydon,Room,80,546,452,467,493,600
Croydon,Studio,80,773,713,750,793,805
Croydon,One Bedroom,540,968,875,900,950,1050
Croydon,Two Bedrooms,650,1218,1100,1150,1200,1300
Croydon,Three Bedrooms,250,1455,1325,1350,1450,1600
Croydon,Four or More Bedrooms,100,2004,1750,1800,1897,2125
Ealing,Room,110,778,642,675,750,892
Ealing,Studio,110,929,820,850,900,1001
Ealing,One Bedroom,660,1249,1145,1150,1250,1350
Ealing,Two Bedrooms,880,1551,1375,1400,1500,1699
Ealing,Three Bedrooms,360,2016,1700,1750,1900,2200
Ealing,Four or More Bedrooms,210,2820,2300,2326,2500,3100
Enfield,Room,-,..,..,..,..,..
Enfield,Studio,40,826,775,800,842,900
Enfield,One Bedroom,210,1002,900,925,1000,1100
Enfield,Two Bedrooms,340,1306,1200,1250,1300,1390
Enfield,Three Bedrooms,170,1580,1450,1475,1550,1700
Enfield,Four or More Bedrooms,60,2007,1650,1700,1875,2250
Greenwich,Room,30,626,542,550,585,717
Greenwich,Studio,30,862,800,800,850,925
Greenwich,One Bedroom,250,1160,950,1000,1150,1313
Greenwich,Two Bedrooms,430,1397,1200,1250,1350,1550
Greenwich,Three Bedrooms,200,1684,1400,1425,1600,1850
Greenwich,Four or More Bedrooms,50,2079,1625,1670,2000,2500
Hackney,Room,-,..,..,..,..,..
Hackney,Studio,60,1031,875,910,1000,1150
Hackney,One Bedroom,460,1460,1300,1300,1400,1650
Hackney,Two Bedrooms,580,1793,1500,1550,1725,2015
Hackney,Three Bedrooms,210,2362,2000,2058,2301,2720
Hackney,Four or More Bedrooms,120,3147,2800,2895,3100,3515
Hammersmith and Fulham,Room,10,548,520,520,540,560
Hammersmith and Fulham,Studio,110,1127,975,1000,1100,1213
Hammersmith and Fulham,One Bedroom,600,1483,1278,1300,1402,1603
Hammersmith and Fulham,Two Bedrooms,580,1953,1603,1651,1850,2167
Hammersmith and Fulham,Three Bedrooms,230,2685,2167,2275,2500,3000
Hammersmith and Fulham,Four or More Bedrooms,150,4627,3497,3649,4117,5500
Haringey,Room,10,617,617,617,669,675
